prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
16,4096,64,16,412.561
16,4096,64,32,414.684
16,4096,64,64,420.049
16,4096,64,128,556.361
16,4096,64,256,702.838
16,4096,64,512,982.106
16,4096,64,1024,1513.2
16,4096,64,2048,2658.25
16,4096,64,4096,4987.11
16,4096,64,8192,4986.01
16,4096,128,16,597.193
16,4096,128,32,602.014
16,4096,128,64,614.292
16,4096,128,128,876.525
16,4096,128,256,1156.9
16,4096,128,512,1703.86
16,4096,128,1024,2819.41
16,4096,128,2048,5160.32
16,4096,128,4096,9975.4
16,4096,128,8192,9992.68
16,8192,0,0,213.678
16,8192,1,16,212.739
16,8192,1,32,212.963
16,8192,1,64,212.771
16,8192,1,128,213.07
16,8192,1,256,212.569
16,8192,1,512,213.102
16,8192,1,1024,213.155
16,8192,1,2048,212.899
16,8192,1,4096,214.617
16,8192,1,8192,214.318
16,8192,2,16,219.022
16,8192,2,32,218.478
16,8192,2,64,219.299
16,8192,2,128,224.195
16,8192,2,256,231.438
16,8192,2,512,244.046
16,8192,2,1024,269.786
16,8192,2,2048,321.243
16,8192,2,4096,423.687
16,8192,2,8192,423.153
16,8192,4,16,219.352
16,8192,4,32,219.79
16,8192,4,64,221.316
16,8192,4,128,225.988
16,8192,4,256,233.348
16,8192,4,512,246.767
16,8192,4,1024,271.93
16,8192,4,2048,322.991
16,8192,4,4096,424.604
16,8192,4,8192,423.889
16,8192,8,16,234.628
16,8192,8,32,235.001
16,8192,8,64,235.544
16,8192,8,128,251.695
16,8192,8,256,271.108
16,8192,8,512,308.965
16,8192,8,1024,384.209
16,8192,8,2048,532.968
16,8192,8,4096,831.415
16,8192,8,8192,831.789
16,8192,16,16,257.477
16,8192,16,32,258.105
16,8192,16,64,259.129
16,8192,16,128,293.626
16,8192,16,256,332.175
16,8192,16,512,406.993
16,8192,16,1024,555.753
16,8192,16,2048,849.784
16,8192,16,4096,1253.52
16,8192,16,8192,1253.22
