regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
mixed,8,3,0.375,4.0,256,512,128,512,272,444.459,526.125,433.899,-0.1293
mixed,8,3,0.375,4.0,256,512,512,2048,1088,798.035,1209.566,974.777,0.4295
mixed,8,3,0.375,4.0,256,512,2048,8192,4352,2376.605,2376.603,2006.579,
mixed,8,3,0.375,4.0,256,2048,128,512,272,869.493,1006.041,896.534,0.198
mixed,8,3,0.375,4.0,256,2048,512,2048,1088,1306.849,1794.605,1265.439,-0.0849
mixed,8,3,0.375,4.0,256,2048,2048,8192,4352,2504.8,2507.07,2394.139,-48.7493
mixed,8,3,0.375,4.0,256,8192,128,512,272,1403.074,1544.037,1431.3,0.2002
mixed,8,3,0.375,4.0,256,8192,512,2048,1088,1866.672,2378.044,1966.162,0.1946
mixed,8,3,0.375,4.0,256,8192,2048,8192,4352,3545.273,3546.778,2389.084,-768.2319
mixed,8,3,0.375,4.0,1024,0,128,512,272,855.352,941.27,858.965,0.0421
mixed,8,3,0.375,4.0,1024,0,512,2048,1088,1195.197,1732.332,1408.58,0.3973
mixed,8,3,0.375,4.0,1024,0,2048,8192,4352,2840.265,2840.553,2479.421,-1252.9306
mixed,8,3,0.375,4.0,1024,512,128,512,272,1320.513,1419.079,1331.169,0.1081
mixed,8,3,0.375,4.0,1024,512,512,2048,1088,1610.119,2135.765,1779.054,0.3214
mixed,8,3,0.375,4.0,1024,512,2048,8192,4352,3328.693,3321.62,2885.319,
mixed,8,3,0.375,4.0,1024,2048,128,512,272,2633.312,2798.79,2636.484,0.0192
mixed,8,3,0.375,4.0,1024,2048,512,2048,1088,3016.78,3394.581,3053.805,0.098
mixed,8,3,0.375,4.0,1024,2048,2048,8192,4352,4527.537,4526.068,4020.997,
mixed,8,3,0.375,4.0,1024,8192,128,512,272,3806.525,3947.907,3817.825,0.0799
mixed,8,3,0.375,4.0,1024,8192,512,2048,1088,4282.666,4768.119,4351.437,0.1417
mixed,8,3,0.375,4.0,1024,8192,2048,8192,4352,5949.077,5946.039,4812.728,
mixed,8,3,0.375,4.0,4096,0,128,512,272,7742.944,7848.966,7754.754,0.1114
mixed,8,3,0.375,4.0,4096,0,512,2048,1088,8061.034,8441.973,8067.72,0.0176
mixed,8,3,0.375,4.0,4096,0,2048,8192,4352,9348.365,9349.801,8815.225,-371.2674
mixed,8,3,0.375,4.0,4096,512,128,512,272,9240.937,9347.275,9241.063,0.0012
mixed,8,3,0.375,4.0,4096,512,512,2048,1088,9555.664,9913.531,9545.55,-0.0283
mixed,8,3,0.375,4.0,4096,512,2048,8192,4352,10878.705,10875.95,10293.47,
mixed,8,3,0.375,4.0,4096,2048,128,512,272,12581.396,12655.678,12587.704,0.0849
mixed,8,3,0.375,4.0,4096,2048,512,2048,1088,12844.321,13121.354,12843.902,-0.0015
mixed,8,3,0.375,4.0,4096,2048,2048,8192,4352,14005.307,13995.774,13472.209,
mixed,8,3,0.375,4.0,4096,8192,128,512,272,14208.994,14209.287,14208.387,-2.0717
mixed,8,3,0.375,4.0,4096,8192,512,2048,1088,14222.564,15048.663,14221.151,-0.0017
mixed,8,3,0.375,4.0,4096,8192,2048,8192,4352,15751.174,15753.64,15180.245,-231.5203
pure,8,4,0.5,4.0,0,0,128,512,320,248.326,355.753,248.55,0.0021
pure,8,4,0.5,4.0,0,0,512,2048,1280,780.372,1202.334,776.084,-0.0102
pure,8,4,0.5,4.0,0,0,2048,8192,5120,2372.763,2373.467,1802.539,-809.9773
mixed,8,4,0.5,4.0,16,0,128,512,320,244.773,351.081,245.894,0.0105
mixed,8,4,0.5,4.0,16,0,512,2048,1280,774.963,1197.758,774.035,-0.0022
mixed,8,4,0.5,4.0,16,0,2048,8192,5120,2371.133,2369.37,1795.882,
mixed,8,4,0.5,4.0,16,512,128,512,320,302.152,357.673,309.447,0.1314
mixed,8,4,0.5,4.0,16,512,512,2048,1280,774.483,1197.565,777.298,0.0067
mixed,8,4,0.5,4.0,16,512,2048,8192,5120,2370.236,2370.076,1799.405,
mixed,8,4,0.5,4.0,16,2048,128,512,320,721.362,772.915,728.946,0.1471
mixed,8,4,0.5,4.0,16,2048,512,2048,1280,990.392,1203.102,942.23,-0.2264
mixed,8,4,0.5,4.0,16,2048,2048,8192,5120,2369.402,2371.964,1802.667,-221.208
mixed,8,4,0.5,4.0,16,8192,128,512,320,1303.329,1359.233,1309.535,0.111
mixed,8,4,0.5,4.0,16,8192,512,2048,1280,1577.927,1795.021,1526.887,-0.2351
mixed,8,4,0.5,4.0,16,8192,2048,8192,5120,2374.013,2373.499,2371.322,
mixed,8,4,0.5,4.0,64,0,128,512,320,245.828,351.625,246.757,0.0088
mixed,8,4,0.5,4.0,64,0,512,2048,1280,775.987,1198.142,775.604,-0.0009
mixed,8,4,0.5,4.0,64,0,2048,8192,5120,2372.569,2369.274,1800.749,
mixed,8,4,0.5,4.0,64,512,128,512,320,305.894,360.137,314.153,0.1523
mixed,8,4,0.5,4.0,64,512,512,2048,1280,774.452,1198.782,779.763,0.0125
mixed,8,4,0.5,4.0,64,512,2048,8192,5120,2372.281,2371.737,1799.756,
mixed,8,4,0.5,4.0,64,2048,128,512,320,724.689,777.395,731.922,0.1372
mixed,8,4,0.5,4.0,64,2048,512,2048,1280,995.16,1205.182,943.446,-0.2462
mixed,8,4,0.5,4.0,64,2048,2048,8192,5120,2371.642,2369.242,1799.853,
mixed,8,4,0.5,4.0,64,8192,128,512,320,1307.103,1363.394,1314.273,0.1274
mixed,8,4,0.5,4.0,64,8192,512,2048,1280,1581.511,1800.748,1529.638,-0.2366
mixed,8,4,0.5,4.0,64,8192,2048,8192,5120,2376.314,2374.748,2370.745,
mixed,8,4,0.5,4.0,256,0,128,512,320,281.446,368.681,333.928,0.6016
mixed,8,4,0.5,4.0,256,0,512,2048,1280,783.315,1203.293,874.742,0.2177
mixed,8,4,0.5,4.0,256,0,2048,8192,5120,2379.642,2374.491,1884.142,
mixed,8,4,0.5,4.0,256,512,128,512,320,470.956,527.277,442.892,-0.4983
mixed,8,4,0.5,4.0,256,512,512,2048,1280,846.357,1207.838,1014.938,0.4664
mixed,8,4,0.5,4.0,256,512,2048,8192,5120,2377.274,2374.97,2112.788,
