pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
16,n<=8,sr<=70%,kvB<=4k,kp<=8k,-2.3913,1
16,n<=8,sr<=70%,kvB<=4k,kp=0,0.9953,1
16,n<=8,sr>70%,kvB<=16k,kp<=20k,0.8171,2
16,n<=8,sr>70%,kvB<=16k,kp<=2k,0.9952,2
16,n<=8,sr>70%,kvB<=16k,kp<=512,0.9963,2
16,n<=8,sr>70%,kvB<=16k,kp<=8k,-0.0689,1
16,n<=8,sr>70%,kvB<=16k,kp=0,0.9995,2
16,n<=8,sr>70%,kvB<=1k,kp<=20k,0.5084,1
16,n<=8,sr>70%,kvB<=1k,kp<=2k,0.3567,2
16,n<=8,sr>70%,kvB<=1k,kp<=512,0.8063,2
16,n<=8,sr>70%,kvB<=1k,kp<=8k,0.7292,2
16,n<=8,sr>70%,kvB<=1k,kp=0,0.9991,2
16,n<=8,sr>70%,kvB<=32k,kp<=20k,0.9989,2
16,n<=8,sr>70%,kvB<=32k,kp<=2k,0.9989,2
16,n<=8,sr>70%,kvB<=32k,kp<=512,0.9968,2
16,n<=8,sr>70%,kvB<=32k,kp<=8k,0.9976,2
16,n<=8,sr>70%,kvB<=32k,kp=0,1.001,2
16,n<=8,sr>70%,kvB<=4k,kp<=20k,1.1693,1
16,n<=8,sr>70%,kvB<=4k,kp<=2k,0.9792,1
16,n<=8,sr>70%,kvB<=4k,kp<=512,0.9959,2
16,n<=8,sr>70%,kvB<=4k,kp<=8k,1.2085,2
16,n<=8,sr>70%,kvB<=4k,kp=0,0.9967,2
64,n<=128,sr<=15%,kvB<=16k,kp<=20k,0.1306,2
64,n<=128,sr<=15%,kvB<=16k,kp<=2k,0.0692,2
64,n<=128,sr<=15%,kvB<=16k,kp<=512,0.0678,2
64,n<=128,sr<=15%,kvB<=16k,kp<=8k,0.0535,2
64,n<=128,sr<=15%,kvB<=16k,kp=0,0.0687,2
64,n<=128,sr<=15%,kvB<=1k,kp<=20k,0.2099,2
64,n<=128,sr<=15%,kvB<=1k,kp<=2k,0.4629,2
64,n<=128,sr<=15%,kvB<=1k,kp<=512,0.1491,2
64,n<=128,sr<=15%,kvB<=1k,kp<=8k,0.4264,2
64,n<=128,sr<=15%,kvB<=1k,kp=0,0.134,2
64,n<=128,sr<=15%,kvB<=32k,kp<=20k,0.0753,2
64,n<=128,sr<=15%,kvB<=32k,kp<=2k,0.0753,2
64,n<=128,sr<=15%,kvB<=32k,kp<=512,0.0754,2
